,국가별수출입 실적,국가명,수출건수,수출금액
3126,2021.08,산마리노,                   0,                   0
3127,2021.09,산마리노,                   2,                  25
3128,2021.10,산마리노,                   2,                  29
3129,2021.11,산마리노,                   1,                  14
3130,2021.12,산마리노,                   5,                  18
3131,2022.01,산마리노,                   3,                  24
3132,2022.02,산마리노,                   2,                  25
3133,2022.03,산마리노,                   4,                 161
3134,2022.04,산마리노,                   4,                  57
3135,2022.05,산마리노,                   5,                  74
3136,2022.06,산마리노,                   4,                  38
3137,2022.07,산마리노,                   4,                  82
3138,2020.01,상토메 프린스페,                   3,                   9
3139,2020.02,상토메 프린스페,                   3,                  53
3140,2020.03,상토메 프린스페,                   1,                  24
3141,2020.04,상토메 프린스페,                   0,                   0
3142,2020.05,상토메 프린스페,                   1,                 238
3143,2020.06,상토메 프린스페,                   2,                   8
3144,2020.07,상토메 프린스페,                   1,                 180
3145,2020.08,상토메 프린스페,                   2,                  10
3146,2020.09,상토메 프린스페,                   2,                   4
3147,2020.10,상토메 프린스페,                   1,                   2
3148,2020.11,상토메 프린스페,                   0,                   0
3149,2020.12,상토메 프린스페,                   1,                   0
3150,2021.01,상토메 프린스페,                   2,                  12
3151,2021.02,상토메 프린스페,                   4,                   7
3152,2021.03,상토메 프린스페,                   3,                  21
3153,2021.04,상토메 프린스페,                   1,                  29
3154,2021.05,상토메 프린스페,                   2,                  71
3155,2021.06,상토메 프린스페,                   6,                 216
3156,2021.07,상토메 프린스페,                   3,                  20
3157,2021.08,상토메 프린스페,                   2,                   6
3158,2021.09,상토메 프린스페,                   1,                   6
3159,2021.11,상토메 프린스페,                   2,                  12
3160,2021.12,상토메 프린스페,                   1,                   5
3161,2022.01,상토메 프린스페,                   1,                   0
3162,2022.02,상토메 프린스페,                   2,                   5
3163,2022.05,상토메 프린스페,                   0,                   0
3164,2022.06,상토메 프린스페,                   4,                  96
3165,2022.07,상토메 프린스페,                   1,                   3
3166,2020.04,서사하라,                   1,                   6
3167,2020.08,서사하라,                   0,                   0
3168,2021.06,서사하라,                   0,                   0
3169,2022.05,서사하라,                   1,"             110,112"
3170,2020.01,세네갈,                 183,"               3,803"
3171,2020.02,세네갈,                 200,"               3,518"
3172,2020.03,세네갈,                 222,"               5,095"
3173,2020.04,세네갈,                 250,"               6,009"
3174,2020.05,세네갈,                 354,"               4,157"
3175,2020.06,세네갈,                 509,"               4,624"
3176,2020.07,세네갈,                 441,"               4,361"
3177,2020.08,세네갈,                 429,"               6,757"
3178,2020.09,세네갈,                 551,"               4,807"
3179,2020.10,세네갈,                 485,"               6,056"
3180,2020.11,세네갈,                 410,"               3,761"
3181,2020.12,세네갈,                 535,"              24,516"
3182,2021.01,세네갈,                 648,"               6,556"
3183,2021.02,세네갈,                 551,"               8,476"
3184,2021.03,세네갈,                 604,"               8,569"
3185,2021.04,세네갈,                 408,"               6,863"
3186,2021.05,세네갈,                 435,"              15,805"
3187,2021.06,세네갈,                 396,"               6,758"
3188,2021.07,세네갈,                 337,"               8,210"
3189,2021.08,세네갈,                 460,"               6,293"
3190,2021.09,세네갈,                 418,"               7,771"
3191,2021.10,세네갈,                 331,"               6,737"
3192,2021.11,세네갈,                 435,"               7,951"
3193,2021.12,세네갈,                 375,"               8,828"
3194,2022.01,세네갈,                 363,"               5,550"
3195,2022.02,세네갈,                 360,"               7,011"
3196,2022.03,세네갈,                 438,"               7,902"
3197,2022.04,세네갈,                 330,"              10,463"
3198,2022.05,세네갈,                 368,"               8,614"
3199,2022.06,세네갈,                 316,"               5,858"
3200,2022.07,세네갈,                 325,"               6,278"
3201,2020.01,세르비아,                 203,"               8,189"
3202,2020.02,세르비아,                 183,"               9,421"
3203,2020.03,세르비아,                 209,"              12,456"
3204,2020.04,세르비아,                 194,"              17,412"
3205,2020.05,세르비아,                 191,"               8,006"
3206,2020.06,세르비아,                 189,"              12,656"
3207,2020.07,세르비아,                 212,"              17,996"
3208,2020.08,세르비아,                 199,"              18,047"
3209,2020.09,세르비아,                 253,"              29,691"
3210,2020.10,세르비아,                 223,"              22,403"
3211,2020.11,세르비아,                 279,"              28,035"
3212,2020.12,세르비아,                 274,"              22,276"
3213,2021.01,세르비아,                 204,"              15,735"
3214,2021.02,세르비아,                 194,"              19,445"
3215,2021.03,세르비아,                 254,"              33,271"
3216,2021.04,세르비아,                 263,"              23,715"
3217,2021.05,세르비아,                 220,"              20,207"
3218,2021.06,세르비아,                 238,"              20,613"
3219,2021.07,세르비아,                 291,"              22,875"
3220,2021.08,세르비아,                 247,"              23,219"
3221,2021.09,세르비아,                 304,"              28,309"
3222,2021.10,세르비아,                 264,"              16,413"
3223,2021.11,세르비아,                 287,"              27,125"
3224,2021.12,세르비아,                 266,"              16,646"
3225,2022.01,세르비아,                 246,"              20,656"
3226,2022.02,세르비아,                 274,"              26,084"
3227,2022.03,세르비아,                 301,"              23,065"
3228,2022.04,세르비아,                 324,"              28,100"
3229,2022.05,세르비아,                 288,"              19,179"
3230,2022.06,세르비아,                 280,"              16,634"
3231,2022.07,세르비아,                 304,"              14,849"
3232,2020.01,세이쉘,                  28,                 802
3233,2020.02,세이쉘,                  34,"               1,143"
3234,2020.03,세이쉘,                  52,"               1,295"
3235,2020.04,세이쉘,                  33,"               1,171"
3236,2020.05,세이쉘,                  21,"               1,111"
3237,2020.06,세이쉘,                  32,"               1,072"
3238,2020.07,세이쉘,                  22,                 886
3239,2020.08,세이쉘,                  26,                 878
3240,2020.09,세이쉘,                  26,                 486
3241,2020.10,세이쉘,                  31,                 746
3242,2020.11,세이쉘,                  21,                 427
3243,2020.12,세이쉘,                  35,"               2,221"
3244,2021.01,세이쉘,                  25,"               1,024"
3245,2021.02,세이쉘,                  30,                 865
3246,2021.03,세이쉘,                  28,                 528
3247,2021.04,세이쉘,                  36,"               1,023"
3248,2021.05,세이쉘,                  29,"               1,597"
3249,2021.06,세이쉘,                  38,                 918
3250,2021.07,세이쉘,                  40,"               1,303"
3251,2021.08,세이쉘,                  50,"               1,448"
3252,2021.09,세이쉘,                  45,                 834
3253,2021.10,세이쉘,                  32,"               1,143"
3254,2021.11,세이쉘,                  39,                 806
3255,2021.12,세이쉘,                  52,"               2,279"
3256,2022.01,세이쉘,                  40,"               2,011"
3257,2022.02,세이쉘,                  23,                 784
3258,2022.03,세이쉘,                  36,"               1,747"
3259,2022.04,세이쉘,                  35,                 957
3260,2022.05,세이쉘,                  29,                 824
3261,2022.06,세이쉘,                  41,"               1,124"
3262,2022.07,세이쉘,                  53,"               1,410"
3263,2020.02,세인트 루시아,                   7,                 128
3264,2020.03,세인트 루시아,                  14,                 397
3265,2020.04,세인트 루시아,                   6,                  44
3266,2020.05,세인트 루시아,                   5,                  87
3267,2020.06,세인트 루시아,                   3,                  57
3268,2020.07,세인트 루시아,                   7,                  82
3269,2020.08,세인트 루시아,                   6,                  21
3270,2020.09,세인트 루시아,                   7,                 216
3271,2020.10,세인트 루시아,                   6,                 362
3272,2020.11,세인트 루시아,                   8,                 168
3273,2020.12,세인트 루시아,                  11,                 414
3274,2021.01,세인트 루시아,                   9,                 161
3275,2021.02,세인트 루시아,                  11,                 334
3276,2021.03,세인트 루시아,                   9,                  68
3277,2021.04,세인트 루시아,                   9,                 289
3278,2021.05,세인트 루시아,                   9,                 811
3279,2021.06,세인트 루시아,                  12,                 184
3280,2021.07,세인트 루시아,                  11,                 272
3281,2021.08,세인트 루시아,                   8,                 207
3282,2021.09,세인트 루시아,                   7,                 365
3283,2021.10,세인트 루시아,                  14,                 572
3284,2021.11,세인트 루시아,                  20,                 458
3285,2021.12,세인트 루시아,                   7,                  98
3286,2022.01,세인트 루시아,                  17,                 428
3287,2022.02,세인트 루시아,                  10,                 487
3288,2022.03,세인트 루시아,                  18,                 426
3289,2022.04,세인트 루시아,                  21,                 456
3290,2022.05,세인트 루시아,                   9,                 612
3291,2022.06,세인트 루시아,                  10,                 163
3292,2022.07,세인트 루시아,                  15,                 554
3293,2020.01,세인트 마틴,                  11,                 759
3294,2020.02,세인트 마틴,                   7,                 240
3295,2020.03,세인트 마틴,                  10,                 762
3296,2020.04,세인트 마틴,                  11,                 463
3297,2020.05,세인트 마틴,                   3,                 104
3298,2020.06,세인트 마틴,                   3,                 211
3299,2020.07,세인트 마틴,                   5,                 351
3300,2020.08,세인트 마틴,                   6,                 341
3301,2020.09,세인트 마틴,                   4,                 879
3302,2020.10,세인트 마틴,                   5,                 317
3303,2020.11,세인트 마틴,                  10,"               1,102"
3304,2020.12,세인트 마틴,                   9,                 560
3305,2021.01,세인트 마틴,                   7,                 263
3306,2021.02,세인트 마틴,                   3,                  59
3307,2021.03,세인트 마틴,                   8,                 278
3308,2021.04,세인트 마틴,                   7,                 325
3309,2021.05,세인트 마틴,                   7,                 741
3310,2021.06,세인트 마틴,                  17,"               1,549"
3311,2021.07,세인트 마틴,                  11,                 749
3312,2021.08,세인트 마틴,                   5,                 400
3313,2021.09,세인트 마틴,                  12,                 502
3314,2021.10,세인트 마틴,                   8,"               1,166"
3315,2021.11,세인트 마틴,                   9,                 834
3316,2021.12,세인트 마틴,                   9,                 466
3317,2022.01,세인트 마틴,                   6,                 371
3318,2022.02,세인트 마틴,                   3,                 583
3319,2022.03,세인트 마틴,                   3,                 489
3320,2022.04,세인트 마틴,                  18,"               1,553"
3321,2022.05,세인트 마틴,                  12,"               1,489"
3322,2022.06,세인트 마틴,                   7,                 638
3323,2022.07,세인트 마틴,                   4,                 180
3324,2020.01,세인트 바르탤르미,                   3,                  62
3325,2020.02,세인트 바르탤르미,                   3,                 105
3326,2020.03,세인트 바르탤르미,                   2,                   2
3327,2020.05,세인트 바르탤르미,                   1,                   1
3328,2020.06,세인트 바르탤르미,                   2,                   1
3329,2020.07,세인트 바르탤르미,                   4,                   4
3330,2020.08,세인트 바르탤르미,                   2,                  15
3331,2020.09,세인트 바르탤르미,                   2,                   2
3332,2020.10,세인트 바르탤르미,                   2,                   2
3333,2020.11,세인트 바르탤르미,                   2,                   2
3334,2020.12,세인트 바르탤르미,                   4,                   4
3335,2021.01,세인트 바르탤르미,                   2,                   2
3336,2021.02,세인트 바르탤르미,                   0,                   0
3337,2021.03,세인트 바르탤르미,                   1,                   7
3338,2021.05,세인트 바르탤르미,                   2,                  13
3339,2021.06,세인트 바르탤르미,                   3,                 237
3340,2021.09,세인트 바르탤르미,                   5,                 238
3341,2021.10,세인트 바르탤르미,                   3,                 255
3342,2021.11,세인트 바르탤르미,                  10,                   2
3343,2021.12,세인트 바르탤르미,                   1,                   0
3344,2022.01,세인트 바르탤르미,                   3,                   7
3345,2022.02,세인트 바르탤르미,                   3,                   4
3346,2022.03,세인트 바르탤르미,                   7,                  10
3347,2022.04,세인트 바르탤르미,                   2,                   4
3348,2022.05,세인트 바르탤르미,                   0,                   0
3349,2022.06,세인트 바르탤르미,                   2,                 698
3350,2022.07,세인트 바르탤르미,                   3,                 674
3351,2020.01,세인트 빈센트 그레나딘,                   3,                  54
3352,2020.02,세인트 빈센트 그레나딘,                   2,                  43
3353,2020.03,세인트 빈센트 그레나딘,                   1,                   0
3354,2020.04,세인트 빈센트 그레나딘,                   6,                  74
3355,2020.05,세인트 빈센트 그레나딘,                   1,                  58
3356,2020.06,세인트 빈센트 그레나딘,                   4,                 241
3357,2020.07,세인트 빈센트 그레나딘,                   1,                  51
3358,2020.08,세인트 빈센트 그레나딘,                   2,                  44
3359,2020.09,세인트 빈센트 그레나딘,                   2,                   9
3360,2020.10,세인트 빈센트 그레나딘,                   2,                  61
3361,2020.11,세인트 빈센트 그레나딘,                   3,                  93
3362,2020.12,세인트 빈센트 그레나딘,                   1,                  36
